1; "Gesundheit ist nicht alles, aber ohne Gesundheit ist alles nichts.";"Arthur Schopenhauer"
1; "Dein Körper ist der einzige Ort, den du zum Leben hast. Pflege ihn gut.";""
1; "Die größte Freude im Leben besteht darin, gesund zu sein.";"Buddha"
1; "Gesundheit ist Reichtum, Geisteszustand ist Königreich, Loyalität ist Freiheit, und Zeit ist Wertschätzung.";"Oliver Wendell Holmes"
1; "Ein gesunder Geist lebt in einem gesunden Körper.";"Juvenal"
1; "Es ist nicht wichtig, wie langsam du gehst, solange du nicht stehen bleibst.";"Konfuzius"
1; "Investiere in deine Gesundheit. Es ist der beste Zins, den du jemals erhalten wirst.";""
1; "Die größten Siege im Leben kommen von der Überwindung von inneren Hindernissen.";""
1; "Gesundheit und Glück kommen denen, die sich selbst helfen.";""
1; "Jeder Schritt bringt dich näher zu deinem Ziel. Gib niemals auf.";""
1; "Die Gesundheit des Körpers ist der Anfang zur Gesundheit des Geistes.";"Francois de la Rochefoucauld"
1; "Die größten Siege im Leben kommen von der Überwindung von inneren Hindernissen.";""
1; "Gesundheit ist ein Verhältnis zwischen dir und deinem Körper.";"Terri Guillemets"
1; "Gesundheit ist nicht alles, aber ohne Gesundheit ist alles nichts.";"Arthur Schopenhauer"
1; "Nichts schmeckt so gut, wie sich gesund zu fühlen.";""
1; "Die einzige Möglichkeit, das Leben zu genießen, ist, gesund zu sein.";"George Bernard Shaw"
1; "Die beste Zeit, um für deine Gesundheit zu sorgen, war gestern. Die nächstbeste Zeit ist jetzt.";""
1; "Dein Körper ist ein Tempel, halte ihn rein und heilig.";""
1; "Gesundheit ist keine Garantie, aber ohne Gesundheit ist alles nichts.";""
1; "Der Weg zur Gesundheit ist gepflastert mit guten Absichten, die umgesetzt werden.";""
1; "Fitness ist kein Ziel, es ist ein Weg des Lebens.";""
1; "Gesundheit ist der Schatz des Lebens, der Wert, den man erst erkennt, wenn man ihn verloren hat.";"Josh Billings"
1; "Dein Körper kann alles erreichen, wenn dein Geist es unterstützt.";""
1; "Gesundheit ist nicht alles, aber ohne Gesundheit ist alles nichts.";"Arthur Schopenhauer"
1; "Die größte Wohltat, die man sich selbst erweisen kann, ist, gut für seine Gesundheit zu sorgen.";""
1; "Die beste Zeit, um für deine Gesundheit zu sorgen, war gestern. Die nächstbeste Zeit ist jetzt.";""
1; "Ein gesunder Lebensstil beginnt mit einem gesunden Geist.";""
1; "Gesundheit ist der wahre Reichtum im Leben.";""
1; "Gesundheit ist ein Geschenk, das man sich selbst machen kann.";""
1; "Die größten Siege beginnen mit dem ersten Schritt.";""
1; "Die Gesundheit des Körpers ist der Anfang zur Gesundheit des Geistes.";""
1; "Es ist nie zu spät, den ersten Schritt in Richtung Gesundheit zu machen.";""
1; "Gesundheit ist keine Glückssache, sondern das Ergebnis kontinuierlicher Bemühungen.";""
1; "Dein Körper ist ein Tempel, pflege ihn wie ein Heiligtum.";""
1; "Investiere in deine Gesundheit. Es ist die beste Investition, die du tätigen kannst.";""
1; "Gesundheit ist nicht alles, aber ohne Gesundheit ist alles nichts.";"Arthur Schopenhauer"
1; "Gesundheit ist kein Luxus, sondern eine Investition in deine Zukunft.";""
1; "Gesundheit ist der Schlüssel zum Glücklichsein.";""
1; "Die größten Siege beginnen mit dem Glauben an dich selbst.";""
1; "Ein gesunder Geist lebt in einem gesunden Körper.";""
